Type,Institution,Shortname,USATLAS,DUNE Ops,DUNE,USATLAS Ops,USCMS,USCMS Ops,IRIS-HEP,A3D3,Latitude,Longitude,USCMS Ops DOE,USCMS Ops NSF,USATLAS Ops DOE,USATLAS Ops NSF,USATLAS Research DOE,USATLAS Research NSF,USCMS Research DOE,USCMS Research NSF
1,University of Mississippi,Ole Miss,,1,1,,1,1,,,34.3665,-89.538,Y,,,,,,,
1,University of Nebraska - Lincoln,UNL,,,,,1,1,1,,40.82,-96.7005,,Y,,,,,,
1,University of New Mexico,UNM,1,,,1,,,,,35.0844,-106.6199,,,,,,1,,
1,University of North Dakota,U.North Dakota,,,1,,,,,,47.9225,-97.07,,,,,,,,
1,University of Notre Dame,Notre Dame,,1,1,,1,1,1,,41.7032,-86.2389,Y,Y,,,,,,
1,University of Oklahoma,U.Oklahoma,1,,,1,,,,,35.205,-97.4457,,,,,1,,,
1,University of Oregon,U.Oregon,1,,,1,,,,,44.0448,-123.0738,,,,,1,,,
1,University of Pennsylvania,UPenn,1,,1,1,,,,1,39.9522,-75.1932,,,,,1,,,
1,University of Pittsburgh,U.Pittsburgh,1,,,1,,,,,40.444,-79.9608,,,,,1,,,
1,University of Puerto Rico Mayagüez,UPRM,,,1,,1,1,1,,18.21,-67.1397,Y,,,,,,,
1,University of Rochester,U.Rochester,,,1,,1,1,,,43.1289,-77.6287,Y,,,,,,,
1,University of South Carolina,U.South Carolina,,,1,,,,,,33.994,-81.03,,,,,,,,
1,University of South Dakota,U.South Dakota,,,1,,,,,,42.7864,-96.9253,,,,,,,,
1,University of Tennessee,U.Tennessee,,,,,1,1,,,35.955,-83.929,Y,,,,,,,
1,University of Texas Arlington,UT Arlington,1,1,1,1,,,,,32.7317,-97.1167,,,,,1,,,
1,University of Texas Austin,UT Austin,1,,1,1,,,1,,30.2849,-97.7341,,,,,1,,,
1,University of Virginia,U.Virginia,,,,,1,1,,,38.0336,-78.508,Y,,,,,,,
1,University of Washington,U.Washington,1,,,1,,,1,1,47.6553,-122.3035,,,,,,1,,
1,University of Wisconsin - Madison,UW Madison,1,,1,1,1,1,1,1,43.0766,-89.4125,Y,Y,,,1,,,
1,Valley City State University,Valley City,,1,1,,,,,,46.9233,-98.0032,,,,,,,,
1,Vanderbilt University,Vanderbilt,,,,,1,1,,,36.1447,-86.8027,Y,Y,,,,,,
1,Virginia Tech,Virginia Tech,,,1,,,,,,37.2284,-80.4234,,,,,,,,
1,Washington College,Washington College,1,,,,,,,,39.2182,-76.0696,,,,,,,,
1,Wayne State University,Wayne State,,,,,1,,,,42.3591,-83.0665,,,,,,,,
1,Wellesley College,Wellesley,,,1,,,,,,42.293,-71.3059,,,,,,,,
1,Westmont College,Westmont,1,,,1,,,,1,34.4506,-119.6604,,,,,,1,,
1,Wichita State University,Wichita State,,1,1,,,,,,37.7163,-97.2933,,,,,,,,
