#################################################################
# Institution,Line2,Latitude,,Longitude,,Latitude Delta,Longitude Delta
#################################################################
# Boston area or MA
#
#MIT,,42.3601,N,71.0942,W,-0.3,1.2
#################################################################
# NY/NJ/Northeast
#
Cornell,,42.4534,N,76.4735,W,-1.0,0.0
#NYU,,40.7295,N,73.9965,W,0.0,-0.8
Princeton,,40.3431,N,74.6551,W,-1.0,0
#################################################################
# Around Lake Michigan
#
U.Chicago,,41.7886,N,87.5987,W,-0.85,-3.1
U.Michigan,,42.278,N,83.7382,W,0.35,0.8
#UIUC,,40.102,N,88.2272,W,-0.3,-1.1
U.Wisconsin,,43.0766,N,89.4125,W,1.25,-1.5
& Morgridge,,43.0730,N,89.4081,W,0.35,-1.5
Notre Dame,,41.6177,N,86.2490,W,-1.05,3.4
#################################################################
# Northwest
#
U.Washington,,47.6062,N,122.3321,W,-1.0,0
#################################################################
# SF Bay Area and Northern California
#
Stanford,,37.4275,N,122.1697,W,-1.2,0
UC Berkeley,,37.8715,N,122.273,W,0.35,0
#################################################################
# SoCal
#
UCSD,,32.8801,N,117.234,W,-1.25,0.0
#################################################################
# Additional IRIS-HEP
#
U.Cincinnati,,39.1329,N,84.5150,W,-1.15,3.3
#UCSC,,36.9881,N,122.0582,W,-0.55,-1.0
U.Nebraska-Lincoln,,40.8202,N,96.7005,W,0.15,-5.9
Indiana.U,,39.1754,N,86.5126,W,-0.9,-3.1
UPRM,,18.2109,N,67.1409,W,0.4,-0.4
#PVAMU,,30.0955,N,95.9907,W,0,0,0,0
#################################################################
# Texas
U.Texas-Austin,,30.2850,N,97.7335,W,0.5,0
